product_id,product_name,category,supplier,price_usd,cost_usd,in_stock
101,Noise-Cancelling Headphones,Electronics,SoundWave Audio,249.99,120.00,true
102,Mechanical Keyboard,Electronics,KeyCraft,129.50,55.00,true
103,4K Webcam,Electronics,VisionTech,89.00,38.00,true
104,Standing Desk,Furniture,Ergonova,399.00,180.00,true
105,Ergonomic Chair,Furniture,Ergonova,529.00,240.00,true
106,Desk Lamp,Furniture,BrightSpaces,59.95,22.00,true
107,Yoga Mat,Fitness,CoreFlow,44.99,15.00,true
108,Resistance Bands,Fitness,CoreFlow,24.50,8.50,true
109,Foam Roller,Fitness,CoreFlow,29.99,11.00,false
110,Coffee Grinder,Kitchen,BrewHouse,79.00,32.00,true
111,French Press,Kitchen,BrewHouse,34.99,14.00,true
112,Chef Knife,Kitchen,BladeCraft,149.00,68.00,true
113,Cast Iron Skillet,Kitchen,IronForge,69.99,28.00,true
114,Travel Backpack,Travel,Wanderlite,119.00,52.00,true
115,Packing Cubes,Travel,Wanderlite,28.00,9.00,true
